job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
"Arbitrators, Mediators, and Conciliators",Legal Occupations,9100,67710,Bachelor's degree
Court Reporters and Simultaneous Captioners,Legal Occupations,17700,67310,Postsecondary nondegree award
Judges and Hearing Officers,Legal Occupations,44800,135160,Doctoral or professional degree
Lawyers,Legal Occupations,864800,151160,Doctoral or professional degree
Paralegals and Legal Assistants,Legal Occupations,376200,61010,Associate's degree
