job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Correctional Officers and Bailiffs,Protective Service Occupations,406500,57950,High school diploma or equivalent
Fire Inspectors,Protective Service Occupations,17600,75480,NA
Firefighters,Protective Service Occupations,344900,59530,Postsecondary nondegree award
Police and Detectives,Protective Service Occupations,826800,77270,NA
Private Detectives and Investigators,Protective Service Occupations,43600,52370,High school diploma or equivalent
Security Guards and Gambling Surveillance Officers,Protective Service Occupations,1272400,38390,High school diploma or equivalent
