job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Bartenders,Food Preparation and Serving Occupations,756700,33530,No formal educational credential
Chefs and Head Cooks,Food Preparation and Serving Occupations,197300,60990,High school diploma or equivalent
Cooks,Food Preparation and Serving Occupations,2805100,35760,NA
Food and Beverage Serving and Related Workers,Food Preparation and Serving Occupations,5030600,31040,No formal educational credential
Food Preparation Workers,Food Preparation and Serving Occupations,902700,34220,No formal educational credential
Waiters and Waitresses,Food Preparation and Serving Occupations,2329700,33760,No formal educational credential
