job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Actuaries,Math Occupations,33600,125770,Bachelor's degree
Data Scientists,Math Occupations,245900,112590,Bachelor's degree
Mathematicians and Statisticians,Math Occupations,34600,104350,Master's degree
Operations Research Analysts,Math Occupations,112100,91290,Bachelor's degree
