job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Actors,Entertainment and Sports Occupations,57000,23,"Some college, no degree"
Athletes and Sports Competitors,Entertainment and Sports Occupations,19100,62360,No formal educational credential
Coaches and Scouts,Entertainment and Sports Occupations,306500,45920,Bachelor's degree
Dancers and Choreographers,Entertainment and Sports Occupations,17000,24,NA
Music Directors and Composers,Entertainment and Sports Occupations,47300,63670,Bachelor's degree
Musicians and Singers,Entertainment and Sports Occupations,169800,42,No formal educational credential
Producers and Directors,Entertainment and Sports Occupations,167000,83480,Bachelor's degree
"Umpires, Referees, and Other Sports Officials",Entertainment and Sports Occupations,19300,38820,High school diploma or equivalent
