job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Grounds Maintenance Workers,Building and Grounds Cleaning Occupations,1296400,38470,NA
Janitors and Building Cleaners,Building and Grounds Cleaning Occupations,2447700,35930,No formal educational credential
Pest Control Workers,Building and Grounds Cleaning Occupations,102400,44730,High school diploma or equivalent
