job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Art Directors,Arts and Design Occupations,135000,111040,Bachelor's degree
Craft and Fine Artists,Arts and Design Occupations,52000,56260,NA
Fashion Designers,Arts and Design Occupations,25700,80690,Bachelor's degree
Floral Designers,Arts and Design Occupations,43800,36120,High school diploma or equivalent
Graphic Designers,Arts and Design Occupations,265900,61300,Bachelor's degree
Industrial Designers,Arts and Design Occupations,30600,79450,Bachelor's degree
Interior Designers,Arts and Design Occupations,87100,63490,Bachelor's degree
Set and Exhibit Designers,Arts and Design Occupations,31300,66280,Bachelor's degree
Special Effects Artists and Animators,Arts and Design Occupations,57100,99800,Bachelor's degree
