job_name,job_group,annual_openings,med_annual_pay,entry_lvl_ed
Community Health Workers,Community and Social Service Occupations,65100,51030,High school diploma or equivalent
Health Education Specialists,Community and Social Service Occupations,71800,63000,Bachelor's degree
Marriage and Family Therapists,Community and Social Service Occupations,77800,63780,Master's degree
Probation Officers and Correctional Treatment Specialists,Community and Social Service Occupations,92300,64520,Bachelor's degree
Rehabilitation Counselors,Community and Social Service Occupations,91900,46110,Master's degree
School and Career Counselors and Advisors,Community and Social Service Occupations,376300,65140,Master's degree
Social and Human Service Assistants,Community and Social Service Occupations,449600,45120,High school diploma or equivalent
Social Workers,Community and Social Service Occupations,810900,61330,NA
"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Community and Social Service Occupations,483500,59190,Master's degree
